        1000  -3.0000000    
  -2.9922483       4.8575568       36.005657    
  -2.9844966       4.8495884       36.005638    
  -2.9767451       4.8417034       36.005619    
  -2.9689934       4.8338518       36.005600    
  -2.9612417       4.8262668       36.005581    
  -2.9534900       4.8186884       36.005562    
  -2.9457386       4.8114471       36.005543    
  -2.9379869       4.8042097       36.005524    
  -2.9302351       4.7956672       36.005501    
  -2.9224834       4.7886372       36.005482    
  -2.9147317       4.7803435       36.005459    
  -2.9069803       4.7722692       36.005436    
  -2.8992286       4.7642989       36.005413    
  -2.8914769       4.7565455       36.005390    
  -2.8837252       4.7488375       36.005367    
  -2.8759735       4.7413535       36.005344    
  -2.8682220       4.7339282       36.005322    
  -2.8604703       4.7266746       36.005299    
  -2.8527186       4.7183537       36.005272    
  -2.8449669       4.7101912       36.005245    
  -2.8372154       4.7033157       36.005222    
  -2.8294637       4.6953459       36.005196    
  -2.8217120       4.6875610       36.005169    
  -2.8139603       4.6799655       36.005142    
  -2.8062086       4.6714077       36.005112    
  -2.7984571       4.6640720       36.005085    
  -2.7907054       4.6568751       36.005058    
  -2.7829537       4.6486292       36.005028    
  -2.7752020       4.6407104       36.004997    
  -2.7674503       4.6329141       36.004967    
  -2.7596989       4.6251740       36.004936    
  -2.7519472       4.6176620       36.004906    
  -2.7441955       4.6102624       36.004875    
  -2.7364438       4.6019945       36.004841    
  -2.7286923       4.5940213       36.004807    
  -2.7209406       4.5869346       36.004776    
  -2.7131889       4.5791888       36.004742    
  -2.7054372       4.5706563       36.004704    
  -2.6976857       4.5631828       36.004669    
  -2.6899340       4.5558252       36.004635    
  -2.6821823       4.5478172       36.004597    
  -2.6744306       4.5399127       36.004559    
  -2.6666789       4.5321474       36.004520    
  -2.6589274       4.5245256       36.004482    
  -2.6511757       4.5170398       36.004444    
  -2.6434240       4.5089540       36.004402    
  -2.6356723       4.5010276       36.004360    
  -2.6279206       4.4939103       36.004322    
  -2.6201692       4.4855618       36.004276    
  -2.6124175       4.4780016       36.004234    
  -2.6046658       4.4705977       36.004192    
  -2.5969141       4.4626803       36.004147    
  -2.5891623       4.4548626       36.004101    
  -2.5814109       4.4472151       36.004055    
  -2.5736592       4.4390488       36.004005    
  -2.5659075       4.4316835       36.003960    
  -2.5581558       4.4238415       36.003910    
  -2.5504043       4.4161363       36.003860    
  -2.5426526       4.4085526       36.003811    
  -2.5349009       4.4005394       36.003757    
  -2.5271492       4.3926225       36.003704    
  -2.5193977       4.3849025       36.003651    
  -2.5116460       4.3773117       36.003597    
  -2.5038943       4.3692660       36.003540    
  -2.4961426       4.3619604       36.003487    
  -2.4883909       4.3542480       36.003429    
  -2.4806395       4.3461490       36.003368    
  -2.4728878       4.3386998       36.003311    
  -2.4651361       4.3308644       36.003250    
  -2.4573843       4.3231654       36.003189    
  -2.4496326       4.3151674       36.003124    
  -2.4418812       4.3073506       36.003059    
  -2.4341295       4.2996011       36.002995    
  -2.4263778       4.2920165       36.002930    
  -2.4186261       4.2840962       36.002861    
  -2.4108744       4.2763681       36.002792    
  -2.4031229       4.2687359       36.002724    
  -2.3953712       4.2608495       36.002651    
  -2.3876195       4.2531090       36.002579    
  -2.3798678       4.2454600       36.002506    
  -2.3721161       4.2375956       36.002430    
  -2.3643646       4.2298112       36.002354    
  -2.3566129       4.2222419       36.002277    
  -2.3488612       4.2144151       36.002197    
  -2.3411098       4.2066755       36.002117    
  -2.3333580       4.1987648       36.002033    
  -2.3256063       4.1909704       36.001949    
  -2.3178546       4.1832838       36.001865    
  -2.3101029       4.1754761       36.001778    
  -2.3023515       4.1677532       36.001690    
  -2.2945998       4.1601577       36.001602    
  -2.2868481       4.1523852       36.001511    
  -2.2790964       4.1444321       36.001415    
  -2.2713447       4.1369262       36.001324    
  -2.2635932       4.1289482       36.001225    
  -2.2558415       4.1214056       36.001129    
  -2.2480898       4.1133833       36.001026    
  -2.2403381       4.1058245       36.000927    
  -2.2325864       4.0981092       36.000824    
  -2.2248349       4.0902395       36.000717    
  -2.2170832       4.0825000       36.000610    
  -2.2093315       4.0746927       36.000500    
  -2.2015798       4.0669255       36.000389    
  -2.1938281       4.0591145       36.000275    
  -2.1860766       4.0513735       36.000160    
  -2.1783249       4.0435743       36.000042    
  -2.1705732       4.0358982       35.999924    
  -2.1628218       4.0281096       35.999802    
  -2.1550701       4.0204029       35.999680    
  -2.1473184       4.0126662       35.999554    
  -2.1395667       4.0048223       35.999424    
  -2.1318150       3.9971275       35.999294    
  -2.1240635       3.9893157       35.999161    
  -2.1163118       3.9814253       35.999023    
  -2.1085601       3.9736841       35.998886    
  -2.1008084       3.9660811       35.998749    
  -2.0930567       3.9582095       35.998604    
  -2.0853052       3.9504580       35.998459    
  -2.0775535       3.9426589       35.998310    
  -2.0698018       3.9349918       35.998161    
  -2.0620501       3.9272707       35.998009    
  -2.0542984       3.9194934       35.997852    
  -2.0465469       3.9116442       35.997692    
  -2.0387952       3.9039516       35.997532    
  -2.0310435       3.8960376       35.997364    
  -2.0232918       3.8882794       35.997196    
  -2.0155401       3.8806245       35.997028    
  -2.0077887       3.8727763       35.996853    
  -2.0000370       3.8650622       35.996677    
  -1.9922853       3.8573387       35.996498    
  -1.9845337       3.8495762       35.996315    
  -1.9767820       3.8418016       35.996128    
  -1.9690304       3.8339908       35.995937    
  -1.9612787       3.8261700       35.995743    
  -1.9535271       3.8183610       35.995544    
  -1.9457754       3.8106496       35.995346    
  -1.9380237       3.8028142       35.995140    
  -1.9302721       3.7950981       35.994934    
  -1.9225204       3.7873871       35.994724    
  -1.9147688       3.7795413       35.994507    
  -1.9070171       3.7718337       35.994289    
  -1.8992655       3.7639887       35.994064    
  -1.8915138       3.7562733       35.993839    
  -1.8837621       3.7484546       35.993607    
  -1.8760105       3.7406497       35.993370    
  -1.8682588       3.7329750       35.993134    
  -1.8605072       3.7251887       35.992889    
  -1.8527555       3.7174337       35.992641    
  -1.8450040       3.7095609       35.992386    
  -1.8372523       3.7018402       35.992130    
  -1.8295006       3.6940367       35.991867    
  -1.8217490       3.6862507       35.991600    
  -1.8139973       3.6784861       35.991329    
  -1.8062457       3.6707664       35.991055    
  -1.7984940       3.6629612       35.990772    
  -1.7907424       3.6551914       35.990486    
  -1.7829907       3.6473653       35.990192    
  -1.7752391       3.6396646       35.989899    
  -1.7674874       3.6318011       35.989594    
  -1.7597357       3.6240811       35.989288    
  -1.7519841       3.6163001       35.988976    
  -1.7442324       3.6084847       35.988655    
  -1.7364808       3.6007037       35.988331    
  -1.7287291       3.5928802       35.987999    
  -1.7209775       3.5851274       35.987663    
  -1.7132258       3.5773151       35.987320    
  -1.7054741       3.5695584       35.986973    
  -1.6977226       3.5617738       35.986618    
  -1.6899709       3.5539684       35.986256    
  -1.6822193       3.5462191       35.985889    
  -1.6744676       3.5384297       35.985516    
  -1.6667160       3.5306368       35.985134    
  -1.6589643       3.5228338       35.984745    
  -1.6512126       3.5150819       35.984352    
  -1.6434610       3.5072460       35.983948    
  -1.6357093       3.4994779       35.983540    
  -1.6279577       3.4916964       35.983124    
  -1.6202060       3.4839206       35.982700    
  -1.6124544       3.4760725       35.982265    
  -1.6047027       3.4682951       35.981827    
  -1.5969510       3.4605229       35.981380    
  -1.5891994       3.4526858       35.980923    
  -1.5814477       3.4449346       35.980461    
  -1.5736961       3.4371257       35.979988    
  -1.5659444       3.4293261       35.979507    
  -1.5581928       3.4215457       35.979019    
  -1.5504411       3.4137177       35.978519    
  -1.5426896       3.4059174       35.978012    
  -1.5349379       3.3981280       35.977497    
  -1.5271862       3.3903208       35.976971    
  -1.5194346       3.3825297       35.976437    
  -1.5116829       3.3747127       35.975891    
  -1.5039313       3.3669250       35.975338    
  -1.4961796       3.3591185       35.974773    
  -1.4884280       3.3512952       35.974197    
  -1.4806763       3.3435059       35.973614    
  -1.4729246       3.3357003       35.973019    
  -1.4651730       3.3278773       35.972412    
  -1.4574213       3.3200614       35.971794    
  -1.4496697       3.3122854       35.971169    
  -1.4419180       3.3044517       35.970528    
  -1.4341664       3.2966287       35.969875    
  -1.4264147       3.2888460       35.969215    
  -1.4186630       3.2810204       35.968540    
  -1.4109114       3.2732091       35.967854    
  -1.4031597       3.2654014       35.967155    
  -1.3954082       3.2575676       35.966442    
  -1.3876565       3.2497420       35.965717    
  -1.3799049       3.2419381       35.964981    
  -1.3721532       3.2341082       35.964230    
  -1.3644015       3.2262611       35.963463    
  -1.3566499       3.2184362       35.962685    
  -1.3488982       3.2106364       35.961895    
  -1.3411466       3.2027850       35.961086    
  -1.3333949       3.1949623       35.960266    
  -1.3256433       3.1871374       35.959431    
  -1.3178916       3.1793094       35.958580    
  -1.3101400       3.1714761       35.957714    
  -1.3023883       3.1636438       35.956833    
  -1.2946366       3.1557860       35.955933    
  -1.2868850       3.1479681       35.955021    
  -1.2791333       3.1401215       35.954090    
