        1000  -3.0000000    
  -2.9915738      -13.110538       3.3426969    
  -2.9831479      -13.090538       3.3427169    
  -2.9747217      -13.071501       3.3427374    
  -2.9662955      -13.051258       3.3427582    
  -2.9578695      -13.027769       3.3427794    
  -2.9494433      -13.005225       3.3428009    
  -2.9410172      -12.983214       3.3428228    
  -2.9325912      -12.961626       3.3428454    
  -2.9241650      -12.941131       3.3428683    
  -2.9157391      -12.920922       3.3428915    
  -2.9073129      -12.901254       3.3429153    
  -2.8988867      -12.881952       3.3429396    
  -2.8904607      -12.861094       3.3429644    
  -2.8820345      -12.838068       3.3429894    
  -2.8736084      -12.815252       3.3430152    
  -2.8651824      -12.793685       3.3430414    
  -2.8567562      -12.772185       3.3430681    
  -2.8483300      -12.751629       3.3430953    
  -2.8399041      -12.731621       3.3431232    
  -2.8314779      -12.711987       3.3431516    
  -2.8230517      -12.692807       3.3431804    
  -2.8146257      -12.671190       3.3432097    
  -2.8061996      -12.648060       3.3432398    
  -2.7977734      -12.625628       3.3432705    
  -2.7893474      -12.603745       3.3433018    
  -2.7809212      -12.582668       3.3433335    
  -2.7724953      -12.562257       3.3433659    
  -2.7640691      -12.542125       3.3433990    
  -2.7556429      -12.522855       3.3434327    
  -2.7472167      -12.503701       3.3434672    
  -2.7387908      -12.481134       3.3435023    
  -2.7303646      -12.458026       3.3435380    
  -2.7219386      -12.435826       3.3435743    
  -2.7135124      -12.414430       3.3436115    
  -2.7050862      -12.393207       3.3436494    
  -2.6966603      -12.372888       3.3436880    
  -2.6882341      -12.352941       3.3437276    
  -2.6798079      -12.333404       3.3437676    
  -2.6713820      -12.314573       3.3438087    
  -2.6629558      -12.291174       3.3438504    
  -2.6545296      -12.268406       3.3438928    
  -2.6461036      -12.246000       3.3439364    
  -2.6376774      -12.224545       3.3439806    
  -2.6292515      -12.203714       3.3440256    
  -2.6208253      -12.183354       3.3440716    
  -2.6123991      -12.163612       3.3441186    
  -2.6039729      -12.144200       3.3441665    
  -2.5955470      -12.124777       3.3442152    
  -2.5871208      -12.101196       3.3442650    
  -2.5786948      -12.078402       3.3443155    
  -2.5702686      -12.056336       3.3443673    
  -2.5618424      -12.034941       3.3444200    
  -2.5534165      -12.014036       3.3444738    
  -2.5449903      -11.993987       3.3445284    
  -2.5365641      -11.974221       3.3445845    
  -2.5281382      -11.955027       3.3446412    
  -2.5197120      -11.934605       3.3446994    
  -2.5112858      -11.911228       3.3447585    
  -2.5028598      -11.888517       3.3448191    
  -2.4944336      -11.866659       3.3448806    
  -2.4860077      -11.845332       3.3449433    
  -2.4775815      -11.824722       3.3450072    
  -2.4691553      -11.804499       3.3450725    
  -2.4607291      -11.784936       3.3451390    
  -2.4523032      -11.765826       3.3452067    
  -2.4438770      -11.744637       3.3452759    
  -2.4354510      -11.721268       3.3453465    
  -2.4270248      -11.698785       3.3454182    
  -2.4185987      -11.676953       3.3454916    
  -2.4101725      -11.655762       3.3455663    
  -2.4017465      -11.635171       3.3456426    
  -2.3933203      -11.615106       3.3457203    
  -2.3848944      -11.595614       3.3457994    
  -2.3764682      -11.576606       3.3458803    
  -2.3680420      -11.554456       3.3459625    
  -2.3596160      -11.531357       3.3460464    
  -2.3511899      -11.508914       3.3461320    
  -2.3427639      -11.487266       3.3462193    
  -2.3343377      -11.466108       3.3463082    
  -2.3259115      -11.445688       3.3463991    
  -2.3174853      -11.425715       3.3464916    
  -2.3090594      -11.406317       3.3465858    
  -2.3006332      -11.387346       3.3466821    
  -2.2922072      -11.364476       3.3467801    
  -2.2837811      -11.341409       3.3468800    
  -2.2753549      -11.319098       3.3469820    
  -2.2669287      -11.297537       3.3470860    
  -2.2585027      -11.276608       3.3471918    
  -2.2500765      -11.256265       3.3472998    
  -2.2416506      -11.236351       3.3474100    
  -2.2332244      -11.216989       3.3475223    
  -2.2247982      -11.198151       3.3476367    
  -2.2163723      -11.174470       3.3477535    
  -2.2079461      -11.151593       3.3478725    
  -2.1995201      -11.129379       3.3479941    
  -2.1910939      -11.107887       3.3481178    
  -2.1826677      -11.087023       3.3482440    
  -2.1742415      -11.066749       3.3483725    
  -2.1658156      -11.046931       3.3485038    
  -2.1573894      -11.027721       3.3486373    
  -2.1489635      -11.007977       3.3487737    
  -2.1405373      -10.984439       3.3489127    
  -2.1321111      -10.961678       3.3490546    
  -2.1236849      -10.939620       3.3491991    
  -2.1152589      -10.918242       3.3493464    
  -2.1068327      -10.897505       3.3494966    
  -2.0984068      -10.877293       3.3496499    
  -2.0899806      -10.857577       3.3498061    
  -2.0815544      -10.838363       3.3499653    
  -2.0731285      -10.817889       3.3501277    
  -2.0647023      -10.794435       3.3502932    
  -2.0562763      -10.771843       3.3504620    
  -2.0478501      -10.749884       3.3506341    
  -2.0394239      -10.728601       3.3508096    
  -2.0309978      -10.707902       3.3509886    
  -2.0225718      -10.687781       3.3511710    
  -2.0141456      -10.668171       3.3513570    
  -2.0057197      -10.649047       3.3515465    
  -1.9972935      -10.627751       3.3517399    
  -1.9888673      -10.604451       3.3519371    
  -1.9804412      -10.581972       3.3521380    
  -1.9720151      -10.560119       3.3523431    
  -1.9635890      -10.538915       3.3525519    
  -1.9551629      -10.518326       3.3527651    
  -1.9467368      -10.498295       3.3529823    
  -1.9383107      -10.478747       3.3532038    
  -1.9298846      -10.459711       3.3534296    
  -1.9214585      -10.437638       3.3536599    
  -1.9130324      -10.414498       3.3538945    
  -1.9046062      -10.392092       3.3541338    
  -1.8961802      -10.370337       3.3543780    
  -1.8877541      -10.349259       3.3546267    
  -1.8793280      -10.328738       3.3548803    
  -1.8709018      -10.308781       3.3551390    
  -1.8624758      -10.289337       3.3554027    
