#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   0.0000000       7.5458136       7.8355956      0.33048150       0.0000000       0.0000000       0.0000000      -36.006676      -82.936867    
  0.99999998E-02   7.5458136       7.7944856      0.32931042      0.32465404       0.0000000       0.0000000      -35.791298      -76.048309    
  0.20000000E-01   7.5458136       7.6711569      0.32814351      0.64930809       0.0000000       0.0000000      -35.575932      -69.159760    
  0.29999999E-01   6.1042123       6.1732583      0.32698071      0.78502995       0.0000000       0.0000000      -35.370728      -60.328644    
  0.39999999E-01   5.2366471       5.3269267      0.32582203      0.89453334       0.0000000       0.0000000      -35.165516      -51.497532    
  0.49999997E-01   4.6485562       4.7460089      0.32466745      0.98843253       0.0000000       0.0000000      -34.970207      -48.266136    
  0.59999999E-01   4.2111139       4.2859383      0.32351699       1.0698190       0.0000000       0.0000000      -34.774895      -45.034729    
  0.70000000E-01   3.8727300       3.9719706      0.32237059       1.1426581       0.0000000       0.0000000      -34.588421      -43.062588    
  0.79999998E-01   3.5981190       3.6800144      0.32122827       1.2076285       0.0000000       0.0000000      -34.401958      -41.090446    
  0.89999996E-01   3.3715773       3.4679768      0.32008997       1.2670665       0.0000000       0.0000000      -34.223618      -39.544525    
  0.99999994E-01   3.1787410       3.2733386      0.31895572       1.3208804       0.0000000       0.0000000      -34.045280      -37.998608    
  0.11000000       3.0135059       3.1062346      0.31782550       1.3708179       0.0000000       0.0000000      -33.874489      -36.691689    
  0.12000000       2.8685491       2.9504933      0.31669927       1.4164307       0.0000000       0.0000000      -33.703693      -35.384769    
  0.13000000       2.7411907       2.8303204      0.31557703       1.4591762       0.0000000       0.0000000      -33.539944      -34.242168    
  0.14000000       2.6271169       2.7145622      0.31445876       1.4984337       0.0000000       0.0000000      -33.376194      -33.099575    
  0.14999999       2.5251009       2.6174130      0.31334445       1.5355018       0.0000000       0.0000000      -33.219044      -32.080730    
  0.16000000       2.4323292       2.5225503      0.31223410       1.5696623       0.0000000       0.0000000      -33.061890      -31.061890    
  0.17000000       2.3482573       2.4365346      0.31112769       1.6021156       0.0000000       0.0000000      -32.910938      -30.134899    
  0.17999999       2.2709150       2.3574061      0.31002522       1.6320853       0.0000000       0.0000000      -32.759983      -29.207907    
  0.19000000       2.2001061       2.2895446      0.30892661       1.6607034       0.0000000       0.0000000      -32.614853      -28.365934    
  0.19999999       2.1343706       2.2219379      0.30783191       1.6871605       0.0000000       0.0000000      -32.469730      -27.523968    
  0.20999999       2.0736921       2.1595144      0.30674109       1.7125584       0.0000000       0.0000000      -32.330097      -26.723631    
  0.22000000       2.0169463       2.1049054      0.30565414       1.7360501       0.0000000       0.0000000      -32.190464      -25.923292    
  0.22999999       1.9642160       2.0539477      0.30457106       1.7587054       0.0000000       0.0000000      -32.056007      -25.193111    
  0.23999999       1.9146043       2.0025215      0.30349180       1.7796603       0.0000000       0.0000000      -31.921547      -24.462933    
  0.25000000       1.8682456       1.9575849      0.30241635       1.7999382       0.0000000       0.0000000      -31.791986      -23.794434    
  0.25999999       1.8244076       1.9120041      0.30134472       1.8186847       0.0000000       0.0000000      -31.662416      -23.125933    
  0.26999998       1.7832509       1.8720086      0.30027691       1.8368891       0.0000000       0.0000000      -31.537472      -22.509113    
  0.28000000       1.7441646       1.8312601      0.29921284       1.8537034       0.0000000       0.0000000      -31.412527      -21.892292    
  0.28999999       1.7073221       1.7953804      0.29815257       1.8700812       0.0000000       0.0000000      -31.291956      -21.321751    
  0.29999998       1.6722034       1.7586823      0.29709604       1.8851879       0.0000000       0.0000000      -31.171381      -20.751211    
  0.31000000       1.6389818       1.7262691      0.29604328       1.8999461       0.0000000       0.0000000      -31.054953      -20.216766    
  0.31999999       1.6072133       1.6930022      0.29499424       1.9135356       0.0000000       0.0000000      -30.938522      -19.682320    
  0.32999998       1.5770711       1.6635469      0.29394892       1.9268742       0.0000000       0.0000000      -30.826035      -19.174486    
  0.34000000       1.5481659       1.6332209      0.29290730       1.9391334       0.0000000       0.0000000      -30.713549      -18.666655    
  0.34999999       1.5206661       1.6063102      0.29186937       1.9512101       0.0000000       0.0000000      -30.604784      -18.195097    
  0.35999998       1.4942292       1.5803894      0.29083511       1.9622866       0.0000000       0.0000000      -30.496019      -17.723543    
  0.37000000       1.4690161       1.5556148      0.28980452       1.9732295       0.0000000       0.0000000      -30.390810      -17.286238    
  0.38000000       1.4447241       1.5299791      0.28877759       1.9832417       0.0000000       0.0000000      -30.285595      -16.848934    
  0.38999999       1.4215057       1.5071431      0.28775430       1.9931594       0.0000000       0.0000000      -30.183744      -16.443531    
  0.39999998       1.3990917       1.4850632      0.28673461       2.0022078       0.0000000       0.0000000      -30.081890      -16.038128    
  0.41000000       1.3776257       1.4638774      0.28571856       2.0111947       0.0000000       0.0000000      -29.983253      -15.660999    
  0.41999999       1.3568666       1.4418616      0.28470609       2.0193665       0.0000000       0.0000000      -29.884621      -15.283871    
  0.42999998       1.3369514       1.4221934      0.28369722       2.0275083       0.0000000       0.0000000      -29.789032      -14.927505    
  0.44000000       1.3176607       1.4031169      0.28269193       2.0348845       0.0000000       0.0000000      -29.693443      -14.571141    
  0.44999999       1.2991245       1.3833946      0.28169021       2.0422776       0.0000000       0.0000000      -29.600773      -14.226255    
  0.45999998       1.2811431       1.3656037      0.28069204       2.0489504       0.0000000       0.0000000      -29.508093      -13.881371    
  0.47000000       1.2638388       1.3484548      0.27969739       2.0556655       0.0000000       0.0000000      -29.418205      -13.563163    
  0.47999999       1.2470303       1.3305351      0.27870628       2.0617015       0.0000000       0.0000000      -29.328304      -13.244953    
  0.48999998       1.2308326       1.3144760      0.27771866       2.0677962       0.0000000       0.0000000      -29.241055      -12.944959    
  0.50000000       1.2150797       1.2988417      0.27673453       2.0732493       0.0000000       0.0000000      -29.153809      -12.644962    
  0.50999999       1.1998806       1.2825916      0.27575392       2.0787723       0.0000000       0.0000000      -29.069090      -12.367171    
  0.51999998       1.1850824       1.2678999      0.27477676       2.0836873       0.0000000       0.0000000      -28.984365      -12.089381    
  0.52999997       1.1707871       1.2536867      0.27380309       2.0886850       0.0000000       0.0000000      -28.902067      -11.828401    
  0.53999996       1.1568544       1.2398217      0.27283284       2.0931063       0.0000000       0.0000000      -28.819761      -11.567421    
  0.55000001       1.1433803       1.2263945      0.27186605       2.0976188       0.0000000       0.0000000      -28.739777      -11.318979    
  0.56000000       1.1302354       1.2122816      0.27090269       2.1015832       0.0000000       0.0000000      -28.659781      -11.070537    
  0.56999999       1.1175107       1.2005769      0.26994273       2.1056614       0.0000000       0.0000000      -28.582003      -10.831336    
  0.57999998       1.1050858       1.1881595      0.26898617       2.1092184       0.0000000       0.0000000      -28.504229      -10.592135    
  0.58999997       1.0930468       1.1751800      0.26803303       2.1129060       0.0000000       0.0000000      -28.428574      -10.368425    
  0.59999996       1.0812815       1.1634203      0.26708323       2.1160972       0.0000000       0.0000000      -28.352921      -10.144715    
  0.61000001       1.0698714       1.1520013      0.26613680       2.1194232       0.0000000       0.0000000      -28.279289      -9.9327917    
  0.62000000       1.0587124       1.1399559      0.26519373       2.1222763       0.0000000       0.0000000      -28.205658      -9.7208681    
  0.63000000       1.0478810       1.1299661      0.26425400       2.1252654       0.0000000       0.0000000      -28.133974      -9.5216427    
  0.63999999       1.0372803       1.1193309      0.26331761       2.1278031       0.0000000       0.0000000      -28.062286      -9.3224154    
  0.64999998       1.0269828       1.1081731      0.26238453       2.1304774       0.0000000       0.0000000      -27.992468      -9.1367340    
  0.65999997       1.0168977       1.0988523      0.26145479       2.1327200       0.0000000       0.0000000      -27.922642      -8.9510517    
  0.66999996       1.0070938       1.0882075      0.26052830       2.1350939       0.0000000       0.0000000      -27.854612      -8.7742577    
  0.68000001      0.99748611       1.0785518      0.25960508       2.1370549       0.0000000       0.0000000      -27.786581      -8.5974655    
  0.69000000      0.98813999       1.0691484      0.25868517       2.1391730       0.0000000       0.0000000      -27.720272      -8.4237509    
  0.69999999      0.97897559       1.0599232      0.25776851       2.1408958       0.0000000       0.0000000      -27.653959      -8.2500362    
  0.70999998      0.97005421       1.0502125      0.25685510       2.1427829       0.0000000       0.0000000      -27.589296      -8.0866728    
  0.71999997      0.96130133       1.0421082      0.25594494       2.1442912       0.0000000       0.0000000      -27.524632      -7.9233098    
  0.72999996      0.95277524       1.0335028      0.25503796       2.1459599       0.0000000       0.0000000      -27.461554      -7.7701440    
  0.74000001      0.94440567       1.0250521      0.25413424       2.1472659       0.0000000       0.0000000      -27.398476      -7.6169772    
  0.75000000      0.93624806       1.0161394      0.25323367       2.1487300       0.0000000       0.0000000      -27.336918      -7.4715953    
  0.75999999      0.92823625       1.0080502      0.25233635       2.1498458       0.0000000       0.0000000      -27.275364      -7.3262124    
  0.76999998      0.92042321       1.0001535      0.25144219       2.1511180       0.0000000       0.0000000      -27.215275      -7.1928306    
  0.77999997      0.91274619      0.99239147      0.25055119       2.1520555       0.0000000       0.0000000      -27.155184      -7.0594482    
  0.78999996      0.90525532      0.98480970      0.24966334       2.1531394       0.0000000       0.0000000      -27.096510      -6.9290075    
  0.79999995      0.89789152      0.97674388      0.24877864       2.1539013       0.0000000       0.0000000      -27.037836      -6.7985663    
  0.81000000      0.89070213      0.97006756      0.24789709       2.1548274       0.0000000       0.0000000      -26.980513      -6.6698389    
  0.81999999      0.88363189      0.96289945      0.24701865       2.1554434       0.0000000       0.0000000      -26.923195      -6.5411110    
  0.82999998      0.87672609      0.95589113      0.24614334       2.1562304       0.0000000       0.0000000      -26.867182      -6.4203067    
  0.83999997      0.86993194      0.94899404      0.24527112       2.1567197       0.0000000       0.0000000      -26.811178      -6.2995028    
  0.84999996      0.86329246      0.94168681      0.24440198       2.1573734       0.0000000       0.0000000      -26.756420      -6.1851902    
  0.85999995      0.85675776      0.93505383      0.24353595       2.1577404       0.0000000       0.0000000      -26.701672      -6.0708780    
  0.87000000      0.85036880      0.92910498      0.24267295       2.1582706       0.0000000       0.0000000      -26.648132      -5.9618597    
  0.88000000      0.84407824      0.92216927      0.24181303       2.1585240       0.0000000       0.0000000      -26.594593      -5.8528419    
  0.88999999      0.83792573      0.91591042      0.24095617       2.1589367       0.0000000       0.0000000      -26.542229      -5.7510586    
  0.89999998      0.83186603      0.90974432      0.24010232       2.1590827       0.0000000       0.0000000      -26.489866      -5.6492748    
  0.90999997      0.82593614      0.90370476      0.23925149       2.1593752       0.0000000       0.0000000      -26.438627      -5.5538435    
