#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   0.0000000       7.5458136       7.8355956      0.33048150       0.0000000       0.0000000       0.0000000      -36.006676      -82.906250    
  0.99999998E-02   7.5458136       7.7944856      0.32931042      0.32465458       0.0000000       0.0000000      -35.791298      -76.026619    
  0.20000000E-01   7.5458136       7.6711569      0.32814351      0.64930916       0.0000000       0.0000000      -35.575932      -69.146996    
  0.29999999E-01   6.1042123       6.1732583      0.32698071      0.78503150       0.0000000       0.0000000      -35.370728      -60.324829    
  0.39999999E-01   5.2366467       5.3269262      0.32582203      0.89453554       0.0000000       0.0000000      -35.165516      -51.502663    
  0.49999997E-01   4.6485562       4.7460089      0.32466745      0.98843426       0.0000000       0.0000000      -34.970207      -48.269421    
  0.59999999E-01   4.2111135       4.2859378      0.32351699       1.0698200       0.0000000       0.0000000      -34.774895      -45.036179    
  0.70000000E-01   3.8727300       3.9719706      0.32237059       1.1426601       0.0000000       0.0000000      -34.588421      -43.063038    
  0.79999998E-01   3.5981185       3.6800144      0.32122827       1.2076313       0.0000000       0.0000000      -34.401958      -41.089901    
  0.89999996E-01   3.3715789       3.4679785      0.32008997       1.2670701       0.0000000       0.0000000      -34.223629      -39.543102    
  0.99999994E-01   3.1787446       3.2733421      0.31895572       1.3208846       0.0000000       0.0000000      -34.045288      -37.996307    
  0.11000000       3.0135102       3.1062388      0.31782550       1.3708225       0.0000000       0.0000000      -33.874500      -36.690544    
  0.12000000       2.8685541       2.9504981      0.31669927       1.4164357       0.0000000       0.0000000      -33.703701      -35.384781    
  0.13000000       2.7411954       2.8303251      0.31557703       1.4591815       0.0000000       0.0000000      -33.539951      -34.242287    
  0.14000000       2.6271212       2.7145667      0.31445876       1.4984392       0.0000000       0.0000000      -33.376198      -33.099792    
  0.14999999       2.5251048       2.6174171      0.31334445       1.5355073       0.0000000       0.0000000      -33.219044      -32.081161    
  0.16000000       2.4323325       2.5225534      0.31223410       1.5696678       0.0000000       0.0000000      -33.061890      -31.062540    
  0.17000000       2.3482602       2.4365375      0.31112769       1.6021212       0.0000000       0.0000000      -32.910938      -30.135347    
  0.17999999       2.2709177       2.3574085      0.31002522       1.6320910       0.0000000       0.0000000      -32.759983      -29.208153    
  0.19000000       2.2001085       2.2895470      0.30892661       1.6607091       0.0000000       0.0000000      -32.614861      -28.366192    
  0.19999999       2.1343729       2.2219400      0.30783191       1.6871665       0.0000000       0.0000000      -32.469730      -27.524233    
  0.20999999       2.0736942       2.1595166      0.30674109       1.7125642       0.0000000       0.0000000      -32.330097      -26.723984    
  0.22000000       2.0169482       2.1049070      0.30565414       1.7360561       0.0000000       0.0000000      -32.190464      -25.923735    
  0.22999999       1.9642178       2.0539496      0.30457106       1.7587112       0.0000000       0.0000000      -32.056007      -25.193441    
  0.23999999       1.9146061       2.0025232      0.30349180       1.7796663       0.0000000       0.0000000      -31.921547      -24.463150    
  0.25000000       1.8682470       1.9575862      0.30241635       1.7999443       0.0000000       0.0000000      -31.791986      -23.794744    
  0.25999999       1.8244089       1.9120052      0.30134472       1.8186905       0.0000000       0.0000000      -31.662415      -23.126341    
  0.26999998       1.7832521       1.8720099      0.30027691       1.8368950       0.0000000       0.0000000      -31.537464      -22.509453    
  0.28000000       1.7441655       1.8312612      0.29921284       1.8537091       0.0000000       0.0000000      -31.412518      -21.892565    
  0.28999999       1.7073227       1.7928526      0.29815257       1.8700868       0.0000000       0.0000000      -31.291946      -21.322044    
  0.29999998       1.6722037       1.7586825      0.29709604       1.8851933       0.0000000       0.0000000      -31.171377      -20.751524    
  0.31000000       1.6389822       1.7262695      0.29604328       1.8999517       0.0000000       0.0000000      -31.054953      -20.216974    
  0.31999999       1.6072136       1.6930026      0.29499424       1.9135408       0.0000000       0.0000000      -30.938522      -19.682426    
  0.32999998       1.5770714       1.6635472      0.29394892       1.9268793       0.0000000       0.0000000      -30.826035      -19.174698    
  0.34000000       1.5481663       1.6332213      0.29290730       1.9391384       0.0000000       0.0000000      -30.713541      -18.666965    
  0.34999999       1.5206665       1.6063106      0.29186937       1.9512149       0.0000000       0.0000000      -30.604784      -18.195274    
  0.35999998       1.4942296       1.5803896      0.29083511       1.9622911       0.0000000       0.0000000      -30.496019      -17.723579    
  0.37000000       1.4690162       1.5556152      0.28980452       1.9732342       0.0000000       0.0000000      -30.390802      -17.286322    
  0.38000000       1.4447242       1.5299792      0.28877759       1.9832463       0.0000000       0.0000000      -30.285587      -16.849066    
  0.38999999       1.4215060       1.5071434      0.28775430       1.9931643       0.0000000       0.0000000      -30.183741      -16.443611    
  0.39999998       1.3990918       1.4850636      0.28673461       2.0022128       0.0000000       0.0000000      -30.081890      -16.038158    
  0.41000000       1.3776259       1.4623265      0.28571856       2.0111995       0.0000000       0.0000000      -29.983246      -15.661180    
  0.41999999       1.3568666       1.4418616      0.28470609       2.0193713       0.0000000       0.0000000      -29.884600      -15.284203    
  0.42999998       1.3369514       1.4221934      0.28369722       2.0275128       0.0000000       0.0000000      -29.789021      -14.927747    
  0.44000000       1.3176606       1.4031168      0.28269193       2.0348890       0.0000000       0.0000000      -29.693436      -14.571290    
  0.44999999       1.2991241       1.3833941      0.28169021       2.0422819       0.0000000       0.0000000      -29.600763      -14.226406    
  0.45999998       1.2811427       1.3656032      0.28069204       2.0489547       0.0000000       0.0000000      -29.508085      -13.881521    
  0.47000000       1.2638384       1.3484544      0.27969739       2.0556695       0.0000000       0.0000000      -29.418198      -13.563315    
  0.47999999       1.2470298       1.3305347      0.27870628       2.0617054       0.0000000       0.0000000      -29.328295      -13.245110    
  0.48999998       1.2308321       1.3144757      0.27771866       2.0678003       0.0000000       0.0000000      -29.241043      -12.945123    
  0.50000000       1.2150791       1.2988412      0.27673453       2.0732534       0.0000000       0.0000000      -29.153791      -12.645137    
  0.50999999       1.1998800       1.2825910      0.27575392       2.0787759       0.0000000       0.0000000      -29.069077      -12.367299    
  0.51999998       1.1850817       1.2678992      0.27477676       2.0836906       0.0000000       0.0000000      -28.984358      -12.089460    
  0.52999997       1.1707864       1.2536861      0.27380309       2.0886884       0.0000000       0.0000000      -28.902050      -11.828491    
